IStrain,R,Stress,TStrain,Time,X,dIStrain,dR,dX
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.01281,0.00006,0.00801,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.02562,0.00013,0.01601,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.03843,0.00019,0.02402,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.05124,0.00026,0.03203,0.00000,0.00000,0.00000,0.00001
0.00000,0.00000,0.06405,0.00032,0.04003,0.00000,0.00000,0.00000,0.00001
0.00000,0.00000,0.07686,0.00038,0.04804,0.00000,0.00000,0.00000,0.00002
0.00000,0.00000,0.08967,0.00045,0.05604,0.00000,0.00000,0.00000,0.00003
0.00000,0.00000,0.10248,0.00051,0.06405,0.00000,0.00000,0.00000,0.00004
0.00000,0.00000,0.11529,0.00058,0.07206,0.00000,0.00000,0.00000,0.00006
0.00000,0.00000,0.12810,0.00064,0.08006,0.00000,0.00000,0.00001,0.00008
0.00000,0.00000,0.14091,0.00070,0.08807,0.00000,0.00000,0.00001,0.00011
0.00000,0.00000,0.15372,0.00077,0.09608,0.00000,0.00000,0.00001,0.00015
0.00000,0.00000,0.16653,0.00083,0.10408,0.00000,0.00000,0.00001,0.00018
0.00000,0.00000,0.17934,0.00090,0.11209,0.00001,0.00000,0.00001,0.00023
0.00000,0.00000,0.19215,0.00096,0.12010,0.00001,0.00000,0.00002,0.00028
0.00000,0.00000,0.20496,0.00102,0.12810,0.00001,0.00000,0.00002,0.00034
0.00000,0.00000,0.21777,0.00109,0.13611,0.00001,0.00000,0.00002,0.00041
0.00000,0.00000,0.23058,0.00115,0.14412,0.00002,0.00000,0.00003,0.00049
0.00000,0.00000,0.24339,0.00122,0.15212,0.00002,0.00000,0.00003,0.00058
0.00000,0.00000,0.25620,0.00128,0.16013,0.00002,0.00000,0.00004,0.00067
0.00000,0.00000,0.26901,0.00135,0.16813,0.00003,0.00000,0.00005,0.00078
0.00000,0.00000,0.28182,0.00141,0.17614,0.00004,0.00000,0.00005,0.00089
0.00000,0.00000,0.29462,0.00147,0.18415,0.00004,0.00000,0.00006,0.00102
0.00000,0.00000,0.30743,0.00154,0.19215,0.00005,0.00000,0.00007,0.00116
0.00000,0.00000,0.32024,0.00160,0.20016,0.00006,0.00000,0.00008,0.00131
0.00000,0.00000,0.33305,0.00167,0.20817,0.00007,0.00000,0.00009,0.00147
0.00000,0.00000,0.34586,0.00173,0.21617,0.00008,0.00000,0.00010,0.00165
0.00000,0.00001,0.35866,0.00179,0.22418,0.00010,0.00000,0.00011,0.00184
0.00000,0.00001,0.37147,0.00186,0.23219,0.00011,0.00000,0.00012,0.00204
0.00000,0.00001,0.38427,0.00192,0.24019,0.00013,0.00000,0.00014,0.00225
0.00000,0.00001,0.39708,0.00199,0.24820,0.00015,0.00000,0.00015,0.00249
0.00000,0.00001,0.40989,0.00205,0.25620,0.00017,0.00000,0.00016,0.00273
0.00000,0.00001,0.42270,0.00211,0.26421,0.00019,0.00000,0.00018,0.00300
0.00000,0.00001,0.43551,0.00218,0.27222,0.00021,0.00000,0.00020,0.00328
0.00000,0.00001,0.44831,0.00224,0.28022,0.00024,0.00000,0.00021,0.00358
0.00000,0.00002,0.46112,0.00231,0.28823,0.00027,0.00000,0.00023,0.00389
0.00000,0.00002,0.47393,0.00237,0.29624,0.00030,0.00000,0.00025,0.00422
0.00000,0.00002,0.48674,0.00243,0.30424,0.00033,0.00000,0.00027,0.00457
